AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/4/2019,17,8.6,89.3,27.4
2/4/2019,18.5,9.2,83.1,36.5
3/4/2019,15,9,87.2,5.8
4/4/2019,15,6.6,83.3,0.0
5/4/2019,15.5,6.2,85.2,0.0
6/4/2019,18,5.4,81.7,0.0
7/4/2019,18.5,5.6,88.9,0.0
8/4/2019,16,7.6,87.4,0.0
9/4/2019,17.5,9.2,87.1,1.4
10/4/2019,18,8,83,5.6
11/4/2019,16.5,7.6,85,0.0
12/4/2019,17.5,7.8,80,2.1
13/4/2019,15.5,9.4,90,0.0
14/4/2019,17.5,8,85.9,1.0
15/4/2019,18,8.6,80.1,2.6
16/4/2019,14,9.4,93.5,1.3
17/4/2019,15.5,7.4,86.3,2.2
18/4/2019,15.5,9.2,89.4,1.8
19/4/2019,16,9.8,90.2,12.6
20/4/2019,17.5,8.4,86.1,0.2
21/4/2019,18.5,9,86.4,8.0
22/4/2019,16.5,8.6,88.6,2.8
23/4/2019,13.5,8.8,93.5,9.0
24/4/2019,14,9,94.7,7.7
25/4/2019,15.5,8.6,87.1,0.0
26/4/2019,17,8.8,82.9,0.0
27/4/2019,16.5,9.4,87.2,1.7
28/4/2019,16,9.2,90.4,0.0
29/4/2019,17.5,8.8,91.1,0.0
30/4/2019,17.5,9,93.4,0.0
