AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/8/2019,16.5,4.4,97.9,0.0
2/8/2019,17,4.8,96.8,0.0
3/8/2019,16.5,5.4,90.8,0.0
4/8/2019,15.5,6.4,91.4,0.0
5/8/2019,16,7.8,89.1,0.0
6/8/2019,15.5,5.6,92.3,0.0
7/8/2019,15.5,6.4,91.5,0.0
8/8/2019,14.5,9.2,92.8,0.0
9/8/2019,15,8.6,93.4,0.0
10/8/2019,15,9,95.3,0.0
11/8/2019,16,7.6,94.8,0.0
12/8/2019,16.5,8.8,93.8,0.0
13/8/2019,15.5,8.4,90.6,1.1
14/8/2019,13.5,8.6,95.9,0.0
15/8/2019,16.5,7,86.9,0.0
16/8/2019,16.5,5,93.7,0.0
17/8/2019,18.5,5.2,93.3,0.0
18/8/2019,17.5,5.8,93.5,0.0
19/8/2019,16.5,6.6,96,0.0
20/8/2019,16.5,7.8,88.8,0.0
21/8/2019,15,8,84.1,0.0
22/8/2019,16,8,94.6,0.0
23/8/2019,14.5,7.2,88.4,0.0
24/8/2019,17,7,90.6,0.0
25/8/2019,17.5,6.8,89.3,0.0
26/8/2019,15.5,7,79.9,0.0
27/8/2019,15,9.4,77,0.0
28/8/2019,15,8.8,74.4,0.0
29/8/2019,16.5,8.6,75.1,0.0
30/8/2019,17,7.2,78.1,0.0
31/8/2019,17,6.2,83.5,0.0
