AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,16,8.4,63.5,0.0
2/1/2019,18,8,63.4,0.0
3/1/2019,17.5,9,69.5,0.0
4/1/2019,16,9.2,87.4,6.4
5/1/2019,18,8.8,80.7,0.0
6/1/2019,19.5,7,78.7,0.0
7/1/2019,16.5,9,79.5,0.0
8/1/2019,15.5,6.4,66.3,0.0
9/1/2019,16.5,5,70,0.0
10/1/2019,14.5,5.4,80.2,0.0
11/1/2019,15.5,4.2,72.8,0.0
12/1/2019,17,4.4,66.8,0.0
13/1/2019,18,5.2,75.1,0.0
14/1/2019,18,6.8,77.6,0.0
15/1/2019,14.5,7.6,90.8,1.2
16/1/2019,17.5,8.4,79.4,2.2
17/1/2019,14,8.6,83.7,2.7
18/1/2019,12,8.2,90.4,0.8
19/1/2019,16,8.4,84.5,3.8
20/1/2019,17.5,8.6,74.2,0.0
21/1/2019,16.5,9.2,85,0.7
22/1/2019,17,8.8,73.6,0.0
23/1/2019,18.5,9.8,71.2,0.0
24/1/2019,19,8.6,75.6,0.5
25/1/2019,16,8.4,86.4,0.0
26/1/2019,19.5,8.6,79.6,0.0
27/1/2019,16.5,8.8,88.6,0.7
28/1/2019,16,8.8,96.6,7.9
29/1/2019,12,9.6,96.6,10.6
30/1/2019,15,9,90.8,0.1
31/1/2019,15.5,7.8,89.8,0.0
