AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,16,8.8,90.9,0.9
2/2/2019,17,9.4,88.5,3.0
3/2/2019,16,9.6,86.8,0.7
4/2/2019,16.5,9.2,86.9,10.7
5/2/2019,15.5,9.4,84.3,8.0
6/2/2019,16.5,9,83.6,14.8
7/2/2019,17.5,8.8,86.5,1.3
8/2/2019,16.5,9,86.7,3.3
9/2/2019,15,8.4,91.7,0.7
10/2/2019,17.5,8.6,89.8,0.0
11/2/2019,17,8.4,85.3,0.9
12/2/2019,14.5,9.2,89.1,0.0
13/2/2019,17.5,9.4,84.5,0.7
14/2/2019,18.5,8.8,83.6,10.9
15/2/2019,16,9.6,87.9,0.1
16/2/2019,18,8.4,81.3,0.0
17/2/2019,18.5,7.2,80.1,0.0
18/2/2019,17.5,7.4,81.9,0.0
19/2/2019,16.5,8,94.7,12.6
20/2/2019,15,9.4,88.9,0.0
21/2/2019,15.5,9,88.6,0.3
22/2/2019,18.5,8.4,73.1,0.0
23/2/2019,17,9.8,89.7,3.8
24/2/2019,17,8.4,89.7,49.7
25/2/2019,15.5,8.6,92.1,53.3
26/2/2019,15,9,93.4,15.1
27/2/2019,17,6.8,86.1,0.0
28/2/2019,17.5,6,85.7,0.0
