AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/7/2019,15.5,8,82.8,0.0
2/7/2019,15,7.4,84.7,0.0
3/7/2019,18.5,5.4,64.8,0.0
4/7/2019,17,5.6,79.1,6.3
5/7/2019,11,7.2,93.5,9.1
6/7/2019,14.5,6.8,89.9,7.4
7/7/2019,11.5,7.8,95.8,10.3
8/7/2019,15,5.6,76.1,0.0
9/7/2019,15.5,5.4,71.8,0.0
10/7/2019,14,6,86.3,0.0
11/7/2019,16,4.4,82.5,0.0
12/7/2019,16,4.8,78.5,0.0
13/7/2019,14.5,6.6,74.7,0.9
14/7/2019,13.5,8.8,87.1,10.6
15/7/2019,15,7.6,87.7,0.0
16/7/2019,14.5,6.8,76.9,0.0
17/7/2019,15.5,6.6,79.1,0.0
18/7/2019,15,8.6,75.3,0.0
19/7/2019,14,9,77.9,0.0
20/7/2019,15,9,76.4,0.0
21/7/2019,15.5,8.6,73.9,0.0
22/7/2019,13.5,7,86.9,0.6
23/7/2019,15.5,7.4,81.3,0.1
24/7/2019,14.5,8,83.9,0.2
25/7/2019,15.5,7.6,82.9,0.0
26/7/2019,15.5,7.6,82.5,0.0
27/7/2019,16.5,7.8,89.4,0.0
28/7/2019,14.5,7.4,97.2,0.0
29/7/2019,15.5,4.6,94.8,0.0
30/7/2019,16.5,4.8,94.1,0.0
31/7/2019,16,4.6,98.1,0.0
