AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,17.5,6.6,87.7,2.1
2/3/2019,17.5,9,86.3,0.0
3/3/2019,16.5,7.2,87.2,10.0
4/3/2019,16.5,8.2,87.2,0.1
5/3/2019,17,9,89.1,6.0
6/3/2019,15,8.8,88.6,0.0
7/3/2019,18,8.6,82.5,0.0
8/3/2019,18.5,8.8,87,0.0
9/3/2019,17.5,8.8,91.6,0.0
10/3/2019,18.5,10.2,93.8,0.0
11/3/2019,18,9.2,89,4.5
12/3/2019,17,8,87,1.7
13/3/2019,16.5,9.6,86.4,0.0
14/3/2019,18,9,84.3,0.0
15/3/2019,19.5,8.6,78.8,3.9
16/3/2019,17.5,8.4,83.9,0.0
17/3/2019,15.5,9.2,87.4,5.2
18/3/2019,15,9,89.7,0.0
19/3/2019,16,9.4,87.2,38.4
20/3/2019,15,8.8,92.1,1.8
21/3/2019,17,8.6,90.7,4.5
22/3/2019,17,9.4,91.9,4.9
23/3/2019,17.5,8.2,87.8,0.0
24/3/2019,18,8.2,82.6,0.0
25/3/2019,17.5,9.6,88.7,1.8
26/3/2019,17,7.6,85,0.0
27/3/2019,17.5,7.8,82.5,0.0
28/3/2019,15.5,9.4,90.4,4.3
29/3/2019,17.5,9.2,86.1,0.0
30/3/2019,18,9.8,80.8,0.0
31/3/2019,17.5,8.2,81.9,0.0
