AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/5/2019,16.5,7.8,89.4,0.0
2/5/2019,16.5,8.6,88.1,0.0
3/5/2019,14.5,8.8,90.8,2.6
4/5/2019,15.5,6.4,94.4,2.6
5/5/2019,14.5,6.2,92.5,1.7
6/5/2019,15.5,6.2,89.1,0.0
7/5/2019,16.5,9.2,89.8,0.0
8/5/2019,17,7.6,88.5,0.0
9/5/2019,16.5,7.6,88.4,0.0
10/5/2019,17.5,8.6,92.5,0.0
11/5/2019,18.5,7.2,91.5,0.0
12/5/2019,15,7.4,91.6,9.0
13/5/2019,14.5,7.6,89.8,0.6
14/5/2019,14,9.2,89.5,1.2
15/5/2019,15.5,8.8,92.1,0.0
16/5/2019,16.5,7.6,93,0.0
17/5/2019,16.5,6.2,91.4,0.0
18/5/2019,18,5.8,92.1,0.0
19/5/2019,18,5.2,91.7,0.0
20/5/2019,18.5,6.4,91.1,0.0
21/5/2019,18,7.2,85.5,0.0
22/5/2019,18,7.6,93.7,0.0
23/5/2019,17.5,8.6,93.8,11.0
24/5/2019,14.5,8.4,89.2,8.3
25/5/2019,16.5,9.2,88,4.2
26/5/2019,16.5,8.8,89.9,0.1
27/5/2019,16,7.4,90,3.0
28/5/2019,14.5,7.4,88.9,1.7
29/5/2019,16.5,7.2,77.9,0.0
30/5/2019,17,6.4,91.6,0.0
31/5/2019,17,6.8,92.7,0.0
