AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2019,17.5,7.2,87.3,11.6
2/11/2019,17.5,8,82.3,6.6
3/11/2019,15,9.8,88.7,2.7
4/11/2019,16,9,84.6,0.0
5/11/2019,14.5,9.4,89.3,0.6
6/11/2019,16,7.8,78.8,0.0
7/11/2019,16,8.4,74.7,0.0
8/11/2019,15,8.2,89.5,0.0
9/11/2019,17.5,8.4,87.8,0.0
10/11/2019,14.5,9.4,91.1,7.7
11/11/2019,12.5,8.2,93.9,1.7
12/11/2019,15,9.2,94.3,0.4
13/11/2019,14.5,8,94.8,0.0
14/11/2019,15,5.6,90,0.0
15/11/2019,16,3.6,52.1,0.0
16/11/2019,16.5,5.4,64.5,0.0
17/11/2019,16.5,5,69.8,0.0
18/11/2019,16,2.4,54.6,0.0
19/11/2019,18,5,71.9,0.0
20/11/2019,19,8.4,80.8,0.0
21/11/2019,18,7.6,66.7,4.2
22/11/2019,16.5,6,77.8,0.0
23/11/2019,16,5.4,77.8,0.0
24/11/2019,16.5,6.6,83.1,4.3
25/11/2019,15.5,8.6,89.7,0.0
26/11/2019,16,9,78.3,0.0
27/11/2019,14.5,8.6,88.2,0.0
28/11/2019,17.5,9.2,87,0.7
29/11/2019,17.5,7.6,82.3,0.0
30/11/2019,15.5,8.6,85.9,1.5
