AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2019,16,6.6,91.6,0.0
2/10/2019,18.5,6.8,71.7,0.0
3/10/2019,15,8.6,89,0.1
4/10/2019,18,6.4,77.9,0.0
5/10/2019,14.5,7.8,90.9,4.0
6/10/2019,18,6.8,87.3,7.6
7/10/2019,15,7.4,91.1,0.7
8/10/2019,16,8.2,90.4,0.0
9/10/2019,17.5,8.2,89.8,0.0
10/10/2019,16.5,7.2,89.6,0.0
11/10/2019,17.5,7.8,93.1,0.0
12/10/2019,17.5,7.6,79,0.0
13/10/2019,14,8.2,95.9,0.0
14/10/2019,16.5,8,95.1,0.0
15/10/2019,15,7.2,85.8,4.7
16/10/2019,17,7.6,79.6,9.3
17/10/2019,14.5,9,88.6,7.0
18/10/2019,15.5,8.8,90.1,8.6
19/10/2019,13.5,8,96,5.1
20/10/2019,15.5,7.8,87.6,0.0
21/10/2019,16,8.4,88.8,5.1
22/10/2019,12,8,92,9.5
23/10/2019,14,7.6,81.2,0.0
24/10/2019,14.5,8.2,78.6,0.0
25/10/2019,17,8.8,79.1,0.0
26/10/2019,16,8.2,80.7,0.0
27/10/2019,17.5,7.2,78,1.1
28/10/2019,16,8,79.2,0.3
29/10/2019,17,7.6,79.9,0.0
30/10/2019,18.5,8,78.3,0.0
31/10/2019,16.5,9.4,87.7,2.5
