AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/9/2019,16.5,6,74.3,0.0
2/9/2019,18.5,6.2,79,0.0
3/9/2019,18,7.6,72.3,0.0
4/9/2019,18.5,8.2,76.5,0.0
5/9/2019,18,9,73.8,0.0
6/9/2019,16.5,8.6,70.3,0.0
7/9/2019,15.5,8.8,70,0.0
8/9/2019,17,7.8,57.5,0.0
9/9/2019,17,8.8,73.4,0.0
10/9/2019,17.5,7,75.5,0.0
11/9/2019,18,7.8,81.4,0.0
12/9/2019,17.5,8,73,0.0
13/9/2019,16,9,68.9,0.0
14/9/2019,15,9.2,72.4,0.0
15/9/2019,18,9.4,73.9,0.0
16/9/2019,15.5,7.2,82.7,0.0
17/9/2019,18.5,7.6,72.4,0.8
18/9/2019,18,7.6,83.4,0.3
19/9/2019,16.5,6.8,78.6,0.0
20/9/2019,16,8.4,79.7,0.0
21/9/2019,14,8.2,88,1.3
22/9/2019,16,7.6,84.3,0.0
23/9/2019,14,8.8,87.4,0.0
24/9/2019,15.5,7.6,81,0.0
25/9/2019,17,8.4,56.5,0.0
26/9/2019,18.5,7.6,72.3,0.0
27/9/2019,17.5,7.6,79.6,2.5
28/9/2019,16,7.4,81.7,0.0
29/9/2019,19.5,6.6,79.9,0.4
30/9/2019,17.5,6.4,82.2,0.0
